"SK531*","7 nov","11:10","Stockholm, Arlanda  (Terminal 5) ","12:55","London, Heathrow  (Terminal 2)","","ECONBG",110.11,55.11
"SK527","7 nov","15:20","Stockholm, Arlanda  (Terminal 5) ","17:00","London, Heathrow  (Terminal 2)","","ECONBG",110.11,55.11
"SK1523","7 nov","16:10","Stockholm, Arlanda  (Terminal 5) ","17:50","London, Heathrow  (Terminal 2)","","ECONBG",86.30,48.30
"SK533*","7 nov","18:15","Stockholm, Arlanda  (Terminal 5) ","19:55","London, Heathrow  (Terminal 2)","","ECONBG",86.30,48.30
"SK1527*","7 nov","19:40","Stockholm, Arlanda  (Terminal 5) ","21:20","London, Heathrow  (Terminal 2)","","ECONBG",86.30,48.30
"SK849","7 nov","11:05","Stockholm, Arlanda  (Terminal 5) ","14:35","Oslo","London, Heathrow  (Terminal 2)","ECONBG",221.48,76.48
"SK489","7 nov","12:30","Stockholm, Arlanda  (Terminal 5) ","16:25","Oslo","London, Heathrow  (Terminal 2)","ECONBG",75.65,54.65
"SK495","7 nov","13:20","Stockholm, Arlanda  (Terminal 5) ","16:25","Oslo","London, Heathrow  (Terminal 2)","ECONBG",75.65,54.65
"SK867","7 nov","14:25","Stockholm, Arlanda  (Terminal 5) ","18:30","Oslo","London, Heathrow  (Terminal 2)","ECONBG",181.48,76.48
"SK885","7 nov","17:35","Stockholm, Arlanda  (Terminal 5) ","21:35","Oslo","London, Heathrow  (Terminal 2)","ECONBG",221.48,76.48
"SK525*","8 nov","07:50","Stockholm, Arlanda  (Terminal 5) ","09:35","London, Heathrow  (Terminal 2)","","ECONBG",160.11,55.11
"SK531*","8 nov","11:10","Stockholm, Arlanda  (Terminal 5) ","12:55","London, Heathrow  (Terminal 2)","","ECONBG",200.11,55.11
"SK527","8 nov","15:20","Stockholm, Arlanda  (Terminal 5) ","17:00","London, Heathrow  (Terminal 2)","","ECONBG",160.11,55.11
"SK1523","8 nov","16:10","Stockholm, Arlanda  (Terminal 5) ","17:50","London, Heathrow  (Terminal 2)","","ECONBG",110.11,55.11
"SK533*","8 nov","18:15","Stockholm, Arlanda  (Terminal 5) ","19:55","London, Heathrow  (Terminal 2)","","ECONBG",110.11,55.11
"SK1527*","8 nov","19:40","Stockholm, Arlanda  (Terminal 5) ","21:20","London, Heathrow  (Terminal 2)","","ECONBG",86.30,48.30
"SK849","8 nov","11:05","Stockholm, Arlanda  (Terminal 5) ","14:35","Oslo","London, Heathrow  (Terminal 2)","ECONBG",221.48,76.48
"SK489","8 nov","12:30","Stockholm, Arlanda  (Terminal 5) ","16:25","Oslo","London, Heathrow  (Terminal 2)","ECONBG",221.48,76.48
"SK495","8 nov","13:20","Stockholm, Arlanda  (Terminal 5) ","16:25","Oslo","London, Heathrow  (Terminal 2)","ECONBG",181.48,76.48
"SK495","8 nov","13:20","Stockholm, Arlanda  (Terminal 5) ","18:30","Oslo","London, Heathrow  (Terminal 2)","ECONBG",181.48,76.48
"SK867","8 nov","14:25","Stockholm, Arlanda  (Terminal 5) ","18:30","Oslo","London, Heathrow  (Terminal 2)","ECONBG",181.48,76.48
"SK525*","9 nov","07:55","Stockholm, Arlanda  (Terminal 5) ","09:35","London, Heathrow  (Terminal 2)","","ECONBG",86.30,48.30
"SK531*","9 nov","11:15","Stockholm, Arlanda  (Terminal 5) ","12:55","London, Heathrow  (Terminal 2)","","ECONBG",86.30,48.30
"SK1527*","9 nov","16:50","Stockholm, Arlanda  (Terminal 5) ","18:30","London, Heathrow  (Terminal 2)","","ECONBG",69.19,40.19
"SK843 (WX)","9 nov","07:50","Stockholm, Arlanda  (Terminal 5) ","14:35","Oslo","London, Heathrow  (Terminal 2)","ECONBG",90.56,61.56
"SK849","9 nov","09:25","Stockholm, Arlanda  (Terminal 5) ","14:35","Oslo","London, Heathrow  (Terminal 2)","ECONBG",90.56,61.56
"SK849","9 nov","09:25","Stockholm, Arlanda  (Terminal 5) ","16:25","Oslo","London, Heathrow  (Terminal 2)","ECONBG",75.65,54.65
"SK489 (WX)","9 nov","11:50","Stockholm, Arlanda  (Terminal 5) ","16:25","Oslo","London, Heathrow  (Terminal 2)","ECONBG",90.56,61.56
